Z,U,R,n,NH,agn_percent,redshift,Lbol,L12um,W1L,W2L,W3L,W4L,w12_wrong,w23_wrong
1,-4.820448209,22.141001,1000,22,40,0,1,0.018093636,-10.7072456,-11.3517332,-15.94429873,-16.80828555,0.647058927,4.533431242
1,-4.820448209,22.141001,1000,22.5,40,0,1,0.013511812,-10.31955963,-11.11991475,-15.68597237,-16.66939029,0.805390242,4.499035024
1,-4.820448209,22.141001,1000,23,40,0,1,0.005240399,-9.101901778,-10.38201373,-14.88958206,-16.08785587,1.292087613,4.424621625
1,-4.820448209,22.141001,1000,23.5,40,0,1,2.90E-04,-5.395443075,-8.088854098,-12.61928318,-14.42103005,2.71886847,4.436957198
0.1,-4.761702932,22.141001,1000,24,0,0,1,0.004516987,-8.862663939,-9.985050086,-14.01948682,-15.8456861,1.130768058,4.022444835
0.1,-4.761702932,22.041,1000,19,0,0,1,0.002637397,-10.69115436,-11.12380169,-13.98514078,-16.34557565,0.431478873,2.788785993
0.1,-4.761702932,22.041,1000,19.5,0,0,1,0.002691896,-10.68929125,-11.12192023,-13.99318515,-16.34641794,0.431462695,2.800007831
0.1,-4.761702932,22.041,1000,20,0,0,1,0.002873316,-10.68708736,-11.11928021,-14.02182924,-16.35278094,0.430998037,2.835329933
0.1,-4.761702932,22.041,1000,20.5,0,0,1,0.003455065,-10.68704515,-11.11753372,-14.11255314,-16.3789881,0.429181356,2.938948407
0.1,-4.761702932,22.041,1000,21,0,0,1,0.005212969,-10.6927532,-11.11822906,-14.35059473,-16.45782253,0.423820213,3.200444583
0.1,-4.761702932,22.041,1000,21.5,0,0,1,0.009916903,-10.71161127,-11.12445358,-14.8103797,-16.63732232,0.410263021,3.686543484
0.1,-4.761702932,22.041,1000,22,0,0,1,0.017456997,-10.73490818,-11.13200309,-15.28600807,-16.85932708,0.393174501,4.174973677
0.1,-4.761702932,22.041,1000,22.5,0,0,1,0.019706412,-10.70652192,-11.1141244,-15.39122957,-16.91897058,0.403540472,4.300598134
0.1,-4.761702932,22.041,1000,23,0,0,1,0.018373025,-10.58077586,-11.04000747,-15.31777126,-16.8650693,0.456022341,4.29850982
0.1,-4.761702932,22.041,1000,23.5,0,0,1,0.013559957,-10.17999901,-10.80056754,-15.02259391,-16.65273477,0.620031289,4.234583058
